date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:15	23424/23424	---M--	200	added ('OK')	font/woff	date:Fri,%2010%20Mar%202017%2016:26:11%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
18:02:18	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Mar%202017%2016:26:08%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
18:02:20	45404/45404	---M--	200	added ('OK')	font/ttf	date:Fri,%2010%20Mar%202017%2016:26:10%20GMT	http://wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://wordpressboss.com/pc/spider-demo/assets/bootstrap/css/bootstrap.min.css)
18:02:20	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2030%20Jan%202019%2012:32:42%20GMT	https://fonts.googleapis.com/robots.txt		(from http://wordpressboss.com/pc/spider-demo/)
18:02:37	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2010%20Mar%202017%2016:25:07%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont3e6e.woff2	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
18:02:42	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2010%20Mar%202017%2016:25:07%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.woff?v=4.7.0	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont3e6e.woff	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
18:02:45	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2010%20Mar%202017%2016:25:04%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.svg?v=4.7.0	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont3e6e.svg	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
18:02:47	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2010%20Mar%202017%2016:25:02%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.eot?v=4.7.0	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont3e6e.eot	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
18:02:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jan%202019%2012:33:09%20GMT	http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/grabbing.png	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/grabbing.2e.delayed	(from http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.carousel.css)
18:02:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jan%202019%2012:33:11%20GMT	http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/AjaxLoader.gif	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/AjaxLoader.2f.delayed	(from http://wordpressboss.com/pc/spider-demo/assets/owlcarousel/css/owl.theme.css)
18:02:51	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2010%20Mar%202017%2016:25:02%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.eot?	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfontd41d.eot	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
18:02:57	30173/30173	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202017%2016:26:22%20GMT	http://wordpressboss.com/pc/spider-demo/assets/images/bg/bg.jpg	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/images/bg/bg.jpg	(from http://wordpressboss.com/pc/spider-demo/assets/css/style.css)
18:03:01	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2010%20Mar%202017%2016:25:04%20GMT	http://wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/kaneki/websites/port/wordpressboss.com/pc/spider-demo/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://wordpressboss.com/pc/spider-demo/assets/fonts/font-awesome.min.css)
